seed,sample,ranking_score
1,0,0.7991852170222131
1,1,0.801276064199889
1,2,0.8381868972311612
1,3,0.7988524761223743
1,4,0.814945936180579
2,0,0.8041069268667821
2,1,0.8306990424615828
2,2,0.832352980984871
2,3,0.8513172007248615
2,4,0.7988012786512835
3,0,0.7961612565825175
3,1,0.8297346084354793
3,2,0.800034712069392
3,3,0.8321300664858067
3,4,0.7755361670657002
4,0,0.8736220960641463
4,1,0.8226891590720675
4,2,0.8225816328383576
4,3,0.8046354344061765
4,4,0.7781555936316908
5,0,0.8491675339755685
5,1,0.8452656158554047
5,2,0.8278978001694378
5,3,0.8320249335248836
5,4,0.8068520621698536
