seed,sample,ranking_score
1,0,0.9138802677731981
1,1,0.9392623024513893
1,2,0.9362997803321259
1,3,0.9367574383991366
1,4,0.9297755053536635
2,0,0.9428174720564817
2,1,0.9461057461091057
2,2,0.9424220320985671
2,3,0.9433148468667677
2,4,0.9462534357519422
3,0,0.9419081263787438
3,1,0.9395808070184023
3,2,0.9327245149570085
3,3,0.9495988468848785
3,4,0.9371427378602268
4,0,0.9441847949946934
4,1,0.9097769892442407
4,2,0.9416278128440966
4,3,0.9470130871980623
4,4,0.9399536458206418
5,0,0.9492460479144362
5,1,0.9539161296494763
5,2,0.9523950420019237
5,3,0.9492564296035039
5,4,0.9552183685547055
